slug,base.book,base.chapter,base.chapter_part,base.subchapter,base.subject,base.result_metric,base.recommendation,base.budget.description,base.budget.millions,base.budget.year_span,base.responsible_authority.main,base.responsible_authority.secondary
14,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,,גילאי 3-9,הפחתת הנטל בתשלומי הורים וברכישת ספרי לימוד,הפחתת נטל ההוצאה הפרטית על חינוך  של משקי בית,"א. יצירת מנגנון פרוגרסיבי לגביית תשלומי הורים תוך סבסוד תשלומי ההורים על פי קריטריונים שיקבע משרד החינוך. בהתייחס להמלצות המסתמנות בוועדת שושני, מומלץ לקצר את משך יישום
ההמלצות, ולקבוע כי היקפו המלא של הסבסוד המוצע יינתן בשתי פעימות ויושלם עד תחילת שנת הלימודים תשע""ד ולא בפריסה הדרגתית על פני עשור.
ב. הסרת החסמים בפרויקט השאלת ספרי לימוד - מומלץ להגמיש את הקריטריונים להחלת הפרויקט
בבית הספר (הקטנת התמיכה הדרושה מצד ההורים) ולחייב את המנהלים לערוך הצבעה בבית ספרם.
ג. דיגיטציה - העלאת תכנים של ספרי הלימוד לאינטרנט אשר תאפשר לתלמידי ישראל, תמורת תשלום סמלי, שימוש וגישה חופשיים לספרי הלימוד.
ד. הגברת הפיקוח והאכיפה על מחירי ספרי הלימוד - הקמת מערך אכיפה מצומצם במשרד החינוך
לטובת אכיפת מחירי הספרים בחנויות במקביל ליצירת מודל אפקטיבי לתמחור ספרי לימוד.","שני מליארד ₪ על פני החומש הקרוב. הקצאת סכום תוספתי של 150 מליון ש""ח לבסיס תקציב משרד החינוך בשנת 2012 והעלאתו בשתי פעימות ל - 500 מליון ש""ח משנת 2014 ואילך.",2000,5,שר החינוך,
18,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,,תנועות נוער,תקצוב תנועות נוער,תוספת תקציבית,"הוועדה ממליצה להגדיל את ההשקעה בתחום חשוב זה, ואת התמיכה במגוון פעילויות לרבות עידוד
פתיחת סניפים חדשים ביישובים חלשים, סבסוד חניכים ביישובי הפריפריה, עידוד פעילויות עם נוער
בסיכון וכדו'. אנו צופים כי התוספת התקציבית לתחום זה תביא הן להעצמת מגמת הגידול במספרי
המשתתפים והן להעמקת הפעילויות החינוכיות הכרוכות בו.","מלש""ח לתקנה הרלוונטית במשרד החינוך, מתוכם
15 מלש""ח לבסיס התקציב, ו- 5 מלש""ח נוספים ממקורות משרד החינוך.",75,5,שר החינוך,
19,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,,גילאי 3-9,יישום מסגרות אחר הצהריים,הפעלת מסגרות אחר - הצהריים בגילאי 3-9,יישום החלת מסגרות אחר-צהריים בגילאי 3-9,,0,0,"משרד החינוך בשיתוף אג""ת",
21,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,,גילאי 0-3,העברת אחריות לשר החינוך,מודל העברת אחריות,העברת אחריות לשר החינוך,,0,0,שר החינוך,
22,"דו""ח ועדת טרכטנברג",טיפול בשוק העבודה והרחבת מעגל המועסקים במשק,,התמודדות עם החסם החוקי - חרדים,התנדבות לשירות צבאי או אזרחי - חרדים,שילוב בתעסוקה של למעלה משני שליש מהמתנדבים.,"התנדבות לשירות צבאי או שירות אזרחי. בנוסף, לאפשר שירות אזרחי-בטחוני בחדרי מיון בבתי חולים.","כחלק מהתמודדות עם החסמים בשוק העבודה - חרדים, שעלותו הכוללת היא 760 מלש""ח על פני החומש הקרוב (60 ב- 2012, 95 ב- 2013 ועד ל- 235 ב- 2016).",760,5,"שר האוצר, שר התמ""ת; שר הבריאות",
23,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם המקצועי - חרדים,פרישה ארצית של מרכזי הכוון תעסוקתיים יעודיים לאוכלוסייה החרדית,השמה ישירה בעבודה או במערכת ההשכלה הגבוהה של למעלה ממחצית הפונים,"פרישה ארצית של מרכזי הכוון תעסוקתי יעודיים לאוכלוסייה החרדית, בשיתוף הרשויות המקומיות","כחלק מהתמודדות עם החסמים בשוק העבודה - חרדים, שעלותו הכוללת היא 760 מלש""ח על פני החומש הקרוב (60 ב- 2012, 95 ב- 2013 ועד ל- 235 ב- 2016).",760,5,"שר האוצר, שר התמ""ת, שר החינוך",
24,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם המקצועי - חרדים,הקצאת שוברי הכשרה מקצועית - אוכלוסיה חרדית,"ניצול מלא של השוברים, תשלום החלק השלישי בשובר בעבור כשני שליש מהמוכשרים","הקצאת כ 500- שוברי הכשרה מקצועית ייעודיים לאוכלוסייה החרדית מדי שנה, אשר יחולקו על ידי מרכזי ההכוון, מינהלת השירות האזרחי-לאומי וגופים אחרים העוסקים בהכוונה ובהשמה בעבודה של גברים חרדים.","כחלק מהתמודדות עם החסמים בשוק העבודה - חרדים, שעלותו הכוללת היא 760 מלש""ח על פני החומש הקרוב (60 ב- 2012, 95 ב- 2013 ועד ל- 235 ב- 2016).",760,5,"שר האוצר, שר התמ""ת, שר החינוך",
25,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם המקצועי - חרדים,מכינה אקדמית למתנדבים לשירות אזרחי - אוכלוסיה חרדית,מעבר לאקדמיה של 75% מהלומדים במכינה עם תום השירות האזרחי,"הפעלת מכינה אקדמית למתנדבים לשירות אזרחי, אשר תאפשר לכל מתנדב לשירות אזרחי- בטחוני, הנמצא מתאים ללימודי השכלה גבוהה במקצועות חיוניים לשוק העבודה, ללמוד במכינה קדם-אקדמאית במקביל להתנדבותו","כחלק מהתמודדות עם החסמים בשוק העבודה - חרדים, שעלותו הכוללת היא 760 מלש""ח על פני החומש הקרוב (60 ב- 2012, 95 ב- 2013 ועד ל- 235 ב- 2016).",760,5,"שר האוצר, שר החינוך, וות""ת",
26,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם המקצועי - חרדים,תכנית ניסיונית ללימודי בגרות לחרדים,גיוס צבאי / שירות אזרחי של 75% מהמשתתפים בתכנית,הפעלת תכנית ניסיונית שתאפשר לימודי בגרות לצעירים בני 16-25 מחוץ למסגרת הישיבה.,"כחלק מהתמודדות עם החסמים בשוק העבודה - חרדים, שעלותו הכוללת היא 760 מלש""ח על פני החומש הקרוב (60 ב- 2012, 95 ב- 2013 ועד ל- 235 ב- 2016).",760,5,"שר האוצר, שר החינוך",
27,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם המקצועי - חרדים,"הרחבת תכנית ""חרדים לעתידם"" ",השתלבות בתעסוקה של 85% ממסיימי התואר,"הרחבת תכנית חרדים לעתידם המממנת לימודים אקדמאיים לגברים חרדים במקצועות נדרשים.
זאת, תוך מיקוד המשאבים הקיימים לתמרוץ סטודנטים חרדים ללמוד מקצועות נדרשים בשוק העבודה והעברת התכנית לאחריות וניהול של ות""ת","כחלק מהתמודדות עם החסמים בשוק העבודה - חרדים, שעלותו הכוללת היא 760 מלש""ח על פני החומש הקרוב (60 ב- 2012, 95 ב- 2013 ועד ל- 235 ב- 2016).",760,5,"שר האוצר, שר החינוך, וות""ת",
28,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם המקצועי,הרחבת מספר התלמידים החרדים במערכות החינוך הטכנולוגי ,גיוס צבאי / שירות אזרחי של 75% מהמשתתפים בתכנית,"הרחבת מספר התלמידים החרדים במערכות החינוך הטכנולוגי של משרדי התמ""ת והחינוך. הגדלה הדרגתית של מספר התלמידים, עד למחזור שנתי של למעלה מ 1,500- תלמידים חדשים בשנת 2015","כחלק מהתמודדות עם החסמים בשוק העבודה - חרדים, שעלותו הכוללת היא 760 מלש""ח על פני החומש הקרוב (60 ב- 2012, 95 ב- 2013 ועד ל- 235 ב- 2016).",760,5,"שר האוצר, שר החינוך",
29,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם המקצועי,"חיוב כל התלמידים בביצוע מבחני מיצ""ב",אין,"חיוב כל התלמידים בביצוע מבחני מיצ""ב - לרבות כלל התלמידים במסגרות חינוך חרדיות","כחלק מהתמודדות עם החסמים בשוק העבודה - חרדים, שעלותו הכוללת היא 760 מלש""ח על פני החומש הקרוב (60 ב- 2012, 95 ב- 2013 ועד ל- 235 ב- 2016).",760,5,"ראש הממשלה, שר החינוך",
30,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם המקצועי - חרדים,המשך שיפור מערך הפיקוח במוסדות החרדיים,לא נקבע מדד,"המשך שיפור מערך הפיקוח במוסדות החרדיים. זאת, תוך הרחבת מערך הפיקוח הקיים ואכיפת
קיומם של לימודי יסוד מכשירי תעסוקה בהתאם לאחוז התקצוב של מוסדות החינוך החרדיים.
ביטול התמיכה לכוללים בגין תלמידי ישיבה המגיעים מחו""ל לטובת לימודי ישיבה בארץ.
להגביר ולייעל את הפיקוח על התמיכות בכוללים ובכלל זאת לבחון אפשרות להגדלה הדרגתית של מספר התלמידים המינימאלי בכולל המזכה בתקצוב מ 15- תלמידים ל 5","כחלק מהתמודדות עם החסמים בשוק העבודה - חרדים, שעלותו הכוללת היא 760 מלש""ח על פני החומש הקרוב (60 ב- 2012, 95 ב- 2013 ועד ל- 235 ב- 2016).",760,5,"ראש הממשלה, שר החינוך",
31,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם הכלכלי - חרדים,מלגות קיום לאברכים,שילוב בתעסוקה של לפחות שליש מהאברכים הלומדים בכוללים,"החלת העקרונות שנקבעו על ידי
ועדת גבאי, כך שתיווצר אבחנה בין
מרבית תלמידי הכוללים אשר יוכלו
לקבל תמיכה למשך לא יותר מחמש
שנים, לבין קבוצה קטנה ומובחרת
של תלמידים הבוחרים להתמיד
בלימודים בכולל, תוך קביעת יחסים מספריים בין קבוצות אלו. זאת, תוך יצירת מתווה המתמרץ את תלמיד הכולל, במהלך השנה האחרונה ללימודיו בכולל, להשתלב בתעסוקה או בהכשרות מקצועיות","כחלק מהתמודדות עם החסמים בשוק העבודה - חרדים, שעלותו הכוללת היא 760 מלש""ח על פני החומש הקרוב (60 ב- 2012, 95 ב- 2013 ועד ל- 235 ב- 2016).",760,5,"ראש הממשלה, שר החינוך, שר האוצר",
32,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם הכלכלי - חרדים,"ביטול התמיכה לכוללים בגין תלמידי ישיבה המגיעים מחו""ל",לא ניתן מדד תוצאה,"ביטול התמיכה לכוללים בגין תלמידי ישיבה המגיעים מחו""ל לטובת לימודי ישיבה בארץ","כחלק מהתמודדות עם החסמים בשוק העבודה - חרדים, שעלותו הכוללת היא 760 מלש""ח על פני החומש הקרוב (60 ב- 2012, 95 ב- 2013 ועד ל- 235 ב- 2016).",760,5,"ראש הממשלה, שר החינוך, שר האוצר",
34,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה - מיעוטים,התנדבות לשירות אזרחי-לאומי - מיעוטים,שילוב בתעסוקה ו/או באקדמיה של לפחות 75% מהמתנדבים,"עמידה ביעדי ההתנדבות
הקבועים בהחלטה מס'
, 3564 מיום 31.7.2011
כך שלמעלה מ 20%-
משנתון בנות המיעוטים
. יתנדב בשנת 201","כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר התמ""ת; שר החינוך",
35,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה - מיעוטים,"הרחבת תכנית ""אשת חיל"" ",השמה בעבודה או במערכת ההשכלה הגבוהה של לפחות 70% מהמשתתפות,"הרחבת תכנית ""אשת חיל"" המספקת ליווי, העצמה והכוון תעסוקתי לנשים ממגזר המיעוטים שאינן משתתפות בשוק העבודה.","כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר התמ""ת",
36,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הפעלת מרכזי הכוון יעודיים לאוכלוסיית המיעוטים,השמה ישירה בעבודה או במערכת ההשכלה הגבוהה של למעלה ממחצית הפונים,"פרישה ארצית של כ 22- מרכזי הכוון יעודיים לאוכלוסיית המיעוטים (תוספת של 2 מרכזי הכוון מעבר
להפעלת 20 המרכזים שעתידים לקום מתוקף החלטות החומש למגזר המיעוטים). מרכזים אלו
ישמשו כ""שער לעולם העבודה"" בעבור כל בן מיעוטים החפץ בכך באמצעות מתן ייעוץ, ליווי והכוונה
תעסוקתית לגברים ונשים, וכן באמצעות מגוון כלי הכשרה והשמה.","כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר התמ""ת",
37,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הפעלת תכנית להקניית כישורים תעסוקתיים בסיסיים,לא נקבע מדד,הפעלת תכנית להקניית כישורים תעסוקתיים בסיסיים וללימודי שפה למתנדבי השירות האזרחי-לאומי המעוניינים בכך,"כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר התמ""ת",
38,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה ,סבסוד מעונות יום לנשים ממגזר המיעוטים ,עידוד השתלבות בתעסוקה של נשים ממגזר המיעוטים,סבסוד מעונות יום לנשים ממגזר המיעוטים העובדות במשרות חלקיות ומתן עדיפות לילדי נשים ממגזר המיעוטים בקבלה למעון.  נשים ממגזר המיעוטים אשר עובדות לפחות 24 שעות שבועיות יקבלו סבסוד הזהה לסבסוד שמקבלות שאר האימהות העובדות 36 שעות שבועיות,"כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר החינוך וב- 2012 בשיתוף עם שר התמ""ת",
39,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,"מיקוד עבודת היחידה לאכיפת חוקי עבודה במשרד התמ""ת",הגדלה פי 3 של מספר המעסיקים הנבדקים מדי שנה,"מיקוד עבודת היחידה לאכיפת חוקי עבודה במשרד התמ""ת, בפעילות אכיפה יזומה כנגד מעסיקים המפירים את זכויותיהם של עובדים בשכר נמוך","כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר התמ""ת",
40,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הרחבת מספר התלמידות בנות המיעוטים במערכות החינוך הטכנולוגי,השתלבות בתעסוקה של לפחות שני שליש מהתלמידות,"הרחבת מספר התלמידות בנות המיעוטים במערכות החינוך הטכנולוגי של משרדי החינוך והתמ""ת","כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר התמ""ת, שר החינוך",
41,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,כלים לעידוד ביקוש עובדים בני מיעוטים,לא ניתן מדד תוצאה,הפעלת מספר כלים לעידוד הביקוש לעובדים בני מיעוטים,"כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר התמ""ת",
42,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הפעלת תכנית ללימודי סיעוד לנשים ממגזר המיעוטים,סיום לימודים בהצלחה והשתלבות בעבודה בסיעוד של כ-85% מהתלמידות,"הפעלת תכנית ללימודי סיעוד לנשים ממגזר המיעוטים בדרום הארץ, הכוללת מימון לימודים ומלגות קיום","כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר התמ""ת",
43,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הפעלת תכנית להשלמת השכלת יסוד ,קליטה בתעסוקה של לפחות מחצית מהמשתתפות,"הפעלת תכנית להשלמת השכלת יסוד (""תכנית עידית""), תוך כדי מתן ליווי שוטף והכוון תעסוקתי עם סוף הלימודים","כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר החינוך",
44,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הפעלת תכנית הכשרה להשכלה גבוהה לבני מיעוטים,"השתלבות באקדמיה
של לפחות 80%
מהמשתתפות","הפעלת תכנית הכשרה להשכלה גבוהה (חיזוק אנגלית, הכנה לפסיכומטרי, ייעוץ והכוון וכו'). התכנית תופעל על ידי מרכזי ההכוון הייעודיים","כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר החינוך, וות""ת",
45,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הקצאת שוברי הכשרה מקצועית לבני מיעוטים,"ניצול מלא של השוברים,
תשלום החלק השלישי
בשובר בעבור כשני שליש
מהמוכשרים",\הקצאת שוברי הכשרה מקצועית ייעודיים לבני מיעוטים על ידי מרכזי ההכוון,"כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר התמ""ת",
