14,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,גילאי 3-9,הפחתת הנטל בתשלומי הורים וברכישת ספרי לימוד,"א. יצירת מנגנון פרוגרסיבי לגביית תשלומי הורים תוך סבסוד תשלומי ההורים על פי קריטריונים שיקבע משרד החינוך. בהתייחס להמלצות המסתמנות בוועדת שושני, מומלץ לקצר את משך יישום
ההמלצות, ולקבוע כי היקפו המלא של הסבסוד המוצע יינתן בשתי פעימות ויושלם עד תחילת שנת הלימודים תשע""ד ולא בפריסה הדרגתית על פני עשור.
ב. הסרת החסמים בפרויקט השאלת ספרי לימוד - מומלץ להגמיש את הקריטריונים להחלת הפרויקט
בבית הספר (הקטנת התמיכה הדרושה מצד ההורים) ולחייב את המנהלים לערוך הצבעה בבית ספרם.
ג. דיגיטציה - העלאת תכנים של ספרי הלימוד לאינטרנט אשר תאפשר לתלמידי ישראל, תמורת תשלום סמלי, שימוש וגישה חופשיים לספרי הלימוד.
ד. הגברת הפיקוח והאכיפה על מחירי ספרי הלימוד - הקמת מערך אכיפה מצומצם במשרד החינוך
לטובת אכיפת מחירי הספרים בחנויות במקביל ליצירת מודל אפקטיבי לתמחור ספרי לימוד."
18,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,תנועות נוער,תקצוב תנועות נוער,"הוועדה ממליצה להגדיל את ההשקעה בתחום חשוב זה, ואת התמיכה במגוון פעילויות לרבות עידוד
פתיחת סניפים חדשים ביישובים חלשים, סבסוד חניכים ביישובי הפריפריה, עידוד פעילויות עם נוער
בסיכון וכדו'. אנו צופים כי התוספת התקציבית לתחום זה תביא הן להעצמת מגמת הגידול במספרי
המשתתפים והן להעמקת הפעילויות החינוכיות הכרוכות בו."
19,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,גילאי 3-9,יישום מסגרות אחר הצהריים,יישום החלת מסגרות אחר-צהריים בגילאי 3-9
21,"דו""ח ועדת טרכטנברג",שירותים חברתיים - חינוך,גילאי 0-3,העברת אחריות לשר החינוך,העברת אחריות לשר החינוך
22,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,התמודדות עם החסם החוקי,התנדבות לשירות צבאי או אזרחי,"התנדבות לשירות צבאי או שירות אזרחי. בנוסף, לאפשר שירות אזרחי-בטחוני בחדרי מיון בבתי חולים."
23,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,התמודדות עם החסם המקצועי,פרישה ארצית של מרכזי הכוון תעסוקתיים יעודיים לאוכלוסייה החרדית,"פרישה ארצית של מרכזי הכוון תעסוקתי יעודיים לאוכלוסייה החרדית, בשיתוף הרשויות המקומיות"
24,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,התמודדות עם החסם המקצועי,הקצאת שוברי הכשרה מקצועית,"הקצאת כ 500- שוברי הכשרה מקצועית ייעודיים לאוכלוסייה החרדית מדי שנה, אשר יחולקו על ידי מרכזי ההכוון, מינהלת השירות האזרחי-לאומי וגופים אחרים העוסקים בהכוונה ובהשמה בעבודה של גברים חרדים."
25,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,התמודדות עם החסם המקצועי,מכינה אקדמית למתנדבים לשירות אזרחי,"הפעלת מכינה אקדמית למתנדבים לשירות אזרחי, אשר תאפשר לכל מתנדב לשירות אזרחי- בטחוני, הנמצא מתאים ללימודי השכלה גבוהה במקצועות חיוניים לשוק העבודה, ללמוד במכינה קדם-אקדמאית במקביל להתנדבותו"
26,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם המקצועי,תכנית נסיונית ללימודי בגרות לאחר שעות הישיבה
27,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם המקצועי,"הרחבת תכנית ""חרדים לעתידם"" המממנת לימודים אקדמאיים במקצועות נדרשים"
28,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם המקצועי,"הרחבת מספר התלמידים החרדים במערכות החינוך הטכנולוגי של משרדי התמ""ת והחינוך"
29,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם המקצועי,"חיוב כל התלמידים בביצוע מבחני מיצ""ב - לרבות כלל התלמידים במסגרות חינוך חרדיות"
30,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם המקצועי,המשך שיפור מערך הפיקוח במוסדות החרדיים
31,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם הכלכלי,החלת העקרונות שנקבעו על ידי ועדת גבאי לעניין מלגות קיום לאברכים גם על התמיכה הניתנת לישיבות בגין התלמידים
32,"דו""ח ועדת טרכטנברג",שוק העבודה - חרדים,,התמודדות עם החסם הכלכלי,"ביטול התמיכה לכוללים בגין תלמידי ישיבה המגיעים מחו""ל לטובת לימודי ישיבה בארץ"
34,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,התנדבות לשירות אזרחי-לאומי
35,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,"הרחבת תכנית ""אשת חיל"" המספקת ליווי, העצמה והכוון תעסוקתי לנשים ממגזר המיעוטים שאינן משתתפות בשוק העבודה."
36,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הפעלת מרכזי הכוון יעודיים לאוכלוסיית המיעוטים
37,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הפעלת תכנית להקניית כישורים תעסוקתיים בסיסיים וללימודי שפה למתנדבי השירות האזרחי-לאומי המעוניינים בכך
38,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,סבסוד מעונות יום לנשים ממגזר המיעוטים העובדות במשרות חלקיות ומתן עדיפות לילדי נשים ממגזר המיעוטים בקבלה למעון.  נשים ממגזר המיעוטים אשר עובדות לפחות 24 שעות שבועיות יקבלו סבסוד הזהה לסבסוד שמקבלות שאר האימהות העובדות 36 שעות שבועיות
39,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,"מיקוד עבודת היחידה לאכיפת חוקי עבודה במשרד התמ""ת, בפעילות אכיפה יזומה כנגד מעסיקים המפירים את זכויותיהם של עובדים בשכר נמוך"
40,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,"הרחבת מספר התלמידות בנות המיעוטים במערכות החינוך הטכנולוגי של משרדי החינוך והתמ""ת"
41,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הפעלת מספר כלים לעידוד הביקוש לעובדים בני מיעוטים
42,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,"הפעלת תכנית ללימודי סיעוד לנשים ממגזר המיעוטים בדרום הארץ, הכוללת מימון לימודים ומלגות קיום"
43,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,"הפעלת תכנית להשלמת השכלת יסוד (""תכנית עידית""), תוך כדי מתן ליווי שוטף והכוון תעסוקתי עם סוף הלימודים"
44,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,"הפעלת תכנית הכשרה להשכלה גבוהה (חיזוק אנגלית, הכנה לפסיכומטרי, ייעוץ והכוון וכו'). התכנית תופעל על ידי מרכזי ההכוון הייעודיים"
45,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הקצאת שוברי הכשרה מקצועית
46,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,"יישום 4 תכניות החומש למגזר המיעוטים (בעלות כוללת של כ-3 מיליארד ש""ח)"
47,"דו""ח ועדת טרכטנברג",שוק העבודה- מענקי מס הכנסה שלילי,,מענק מס הכנסה שלילי,הגדלת המענק ב-50% לאימהות עובדות
48,"דו""ח ועדת טרכטנברג",שוק העבודה- מענקי מס הכנסה שלילי,,תעסוקת בעלי מוגבלויות,הקמת מרכזי הכוון וליווי תעסוקתי
52,"דו""ח ועדת טרכטנברג",שוק העבודה - אכיפת חוקי עבודה,,אכיפת חוקי עבודה,אישור הצעת החוק הממשלתית להגברת האכיפה של חוקי עבודה
53,"דו""ח ועדת טרכטנברג",שוק העבודה - אכיפת חוקי עבודה,,אכיפת חוקי עבודה,"החלת שיתוף מידע של מערך האכיפה במשרד התעשייה, המסחר והתעסוקה עם רשות המסים ועם המוסד לביטוח לאומי, בכפוף לבחינת התכנות משפטית"
54,"דו""ח ועדת טרכטנברג",שוק העבודה - אכיפת חוקי עבודה,,אכיפת חוקי עבודה,"תגבור כוח האדם לאכיפת חוקי עבודה בהתאם למתווה שיקבע על ידי שר התמ""ת ושר האוצר"
55,"דו""ח ועדת טרכטנברג",שוק העבודה - עובדים זרים והשפעתם על המשק הישראלי,,ענפי הבניין והחקלאות,לדבוק בהחלטות הממשלה בנושא שעיקרן צמצום מספר העובדים הזרים והעלאת האטרקטיביות של העובד הישראלי
56,"דו""ח ועדת טרכטנברג",שוק העבודה - עובדים זרים והשפעתם על המשק הישראלי,,הסדרים בילטראליים,מניעת תופעת הגבייה של דמי תיווך שלא כחוק על ידי הסדרים בילטראליים לגיוס העובדים ללא שיתוף גורמים פרטיים בהליך (הסדר מדינה מול מדינה)
57,"דו""ח ועדת טרכטנברג",שוק העבודה - עובדים זרים והשפעתם על המשק הישראלי,,עידוד יציאה כחוק של עובדים זרים,החלת פיקדון יציאה מרצון בכלל הענפים בהם מועסקים עובדים זרים
58,"דו""ח ועדת טרכטנברג",שוק העבודה - עובדים זרים והשפעתם על המשק הישראלי,,מסתננים מגבול מצרים,המשך פעולות הממשלה
59,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,רשת קווים מהירים פריפריה מרכז
60,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,שיפור מערך המידע לציבור
61,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,כרטוס משולב עם הרכבת
62,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,שירותי תחבורה ציבורית ממוקדים לקשישים
63,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,הגדרת תנאי סף לשירותי תחבורה ציבורית בפריפריה
64,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,הגברת השילוביות
65,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,אכיפה בנתיבי תחבורה ציבורית
66,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,הגברת השירות למכללות
67,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,הגדלת היצע השירות במטרופולינים
68,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,כרטוס מחוץ לאוטובוס
69,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,הרחבת ההנחות לזכאים
70,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,הנחות לסטודנטים
76,"דו""ח ועדת טרכטנברג",מערכת המס,,מיסים,ביטול מתווה המס הישיר הפוחת
77,"דו""ח ועדת טרכטנברג",מערכת המס,,מיסים,"העלאת מדרגת המס העליונה, המתחילה בכנסה של 40,231 שח לחודש (במחירי שנת מס 2011) בשלוש נקודות אחוז עד לשיעור של 48 אחוזים"
78,"דו""ח ועדת טרכטנברג",מערכת המס,,מיסים,העלאת מס החברות הססטוסטורי העומד כיום על 24% ל- 25% בשנת 2012 ובחינה להעלאה נוספת ל-26% בשנת 2013 בהתאם לצרכים הפיסקאליים
79,"דו""ח ועדת טרכטנברג",מערכת המס,,מיסים,"העלאת המס על ריבית, דיבידנדים, רווחי הון ומס שבח למי שאינו בעל עניין ב-5 נקודות אחוז מ-%20 ל-%25. שיעור המס על בעל עניין מהותי יועלה מ-%25 ל-%30"
80,"דו""ח ועדת טרכטנברג",מערכת המס,,מיסים,"ביטול ה""גיבנת"" הקיימת כתוצאה מהעלאת תקרת הביטוח הלאומי"
81,"דו""ח ועדת טרכטנברג",מערכת המס,,מיסים,"החלת מס על הכנסות גבוהות מהון ועבודה, 2% מס נוסף על סך ההכנסות מעל מיליון שח לשנה"
82,"דו""ח ועדת טרכטנברג",מערכת המס,,מיסים,העלאת הפרשות מעסיק לביטוח לאומי על חלק השכר הגבוה מ- 60% מהשכר הממוצע ב- 1.6 נקודות אחוז (מ-5.9 אחוזים ל7.5 אחוזים)
83,"דו""ח ועדת טרכטנברג",מערכת המס,,מיסים,"ביטול העלאות הבלו על דלקים שנקבעו
לשנת 2012. בפרט: הפחתת הבלו על בנזין ב-40 אגורות לליטר, הבלו על הסולר ב-20 אגורות לליטר והמס על פחם ב-34 ש""ח לטו"
84,"דו""ח ועדת טרכטנברג",מערכת המס,,מיסים,"מתן שתי נקודות זיכוי לגבר, עבור כל ילד עד להגיעו של הילד לגיל 3"
85,"דו""ח ועדת טרכטנברג",מערכת המס,,מיסים,הפחתה במיסי קנייה ומכסים בהתאם להמלצות וועדת קדמי וצוות התחרותיות של הועדה לשינוי כלכלי חברתי
86,"דו""ח ועדת טרכטנברג",מערכת המס,,מיסים,"הקמת צוות לבחינת דרכים להגברת האכיפה וטיפול ב""הון השחור"""
87,"דו""ח ועדת טרכטנברג",מערכת המס,,מיסים,"הקמת צוות לבחינת נושא ""חברות הארנק"", חברות אחזקה פרטיות ואופציות לעובדים"
88,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע דיור לטווח הארוך,"קידום העדכון והתאמת תמ""א 35"
89,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע דיור לטווח הארוך,קביעת יעדים כמותיים למלאי התכנוני ולשיווקי מינהל מקרקעי ישראל
90,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע דיור לטווח הארוך,קביעת יעדי מדיניות בתחום הפיתוח האורבני
91,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע דיור לטווח הארוך,צמצום הריכוזיות במקרקעין והקטנת התמריץ לאגירת קרקעות מתוכננות
92,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הבינוני והארוך,חיזוק ועדת החסמים
93,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הבינוני והארוך,מתן קדם מימון לביצוע תשתיות המהוות חסם לקידום תוכניות למגורים
94,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הבינוני והארוך,ליווי ממשלתי צמוד של מתחמים נבחרים
95,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הבינוני והארוך,טיפול בעלויות הפיתוח בהתחדשות עירונית
96,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הבינוני והארוך,תקצוב תכניות מתאר לפינוי בינוי
97,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הבינוני והארוך,השלמת מנגנון שמאי מכריע לפינוי ובינוי
98,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הבינוני והארוך,השלמת חקיקת חוק היטלי פיתוח
99,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הבינוני והארוך,עידוד השיווק באמצעות הורדת מחיר המינימום במכרזי מנהל מקרקעי ישראל ל-35%
100,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הבינוני והארוך,עידוד השיווק באמצעות דחיית תשלומי היזם עבור הקרקע ל-180 יום
101,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הקצר,עידוד הבנייה על קרקע מתוכננת ומשווקת
102,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הקצר,עידוד האכלוס של דירות ריקות
103,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הקצר,עידוד שיקום דירות שאינן ראויות לשימוש
104,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הקצר,הקלה בפיצול דירות
105,"דו""ח ועדת טרכטנברג",דיור,,דיור בר השגה,יצירת שוק שכירות מגוון בדגש על שכירות ארוכת טווח
106,"דו""ח ועדת טרכטנברג",דיור,,דיור בר השגה,עידוד גופים מוסדיים להקמת בניני השכרה לטווח ארוך
107,"דו""ח ועדת טרכטנברג",דיור,,דיור בר השגה,הגדלת היצע הדירות הקטנות
108,"דו""ח ועדת טרכטנברג",דיור,,פרויקטים מיוחדים על קרקע מדינה,הגדלת היצע הדירות המשווקות במכרזי מחיר למשתכן
108,"דו""ח ועדת טרכטנברג",דיור,,פרויקטים מיוחדים על קרקע מדינה,שיווק דירות להשכרה במחיר מוזל ומפוקח
109,"דו""ח ועדת טרכטנברג",דיור,,טיפול באוכלוסיות מיוחדות,הרחבה הדרגתית של מרכיבי הדיור בתכנית החומש לפיתוח כלכלי בכלל יישובי מגזרי המיעוטים
110,"דו""ח ועדת טרכטנברג",דיור,,טיפול באוכלוסיות מיוחדות,הקמת יישובים חדשים לאוכלוסיית המיעוטים
111,"דו""ח ועדת טרכטנברג",דיור,,טיפול באוכלוסיות מיוחדות,הרחבת שטחי שיפוט
112,"דו""ח ועדת טרכטנברג",דיור,,טיפול באוכלוסיות מיוחדות,הגדלת היצע המעונות לסטודנטים
113,"דו""ח ועדת טרכטנברג",דיור,,טיפול באוכלוסיות מיוחדות,הרחבת היצע הדיור המוגן לקשישים מקבלי הבטחת הכנסה
114,"דו""ח ועדת טרכטנברג",דיור,,טיפול באוכלוסיות מיוחדות,"הגדלת היקף הסיוע בשכ""ד לזכאים"
115,"דו""ח ועדת טרכטנברג",דיור,,טיפול באוכלוסיות מיוחדות,שמירה על מלאי הדיור הציבורי הקיים.
116,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,"הגדרה ברורה של מטרת הרגולציה כך שתכלול, בין היתר, אחריות ברורה לרווחת הצרכנים ולתחרות בתחום הרלוונטי"
117,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,תגבור איכות וסמכויות רגולטורים
118,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,חיזוק מעמדו של הצרכן
119,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,בחינת ייעול הרגולציה הממשלתית
120,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,הקמת חטיבת תחרותיות ברשות ההגבלים העסקיים
121,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,הרחבת סמכויות הרשות להגבלים עסקיים
122,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,מנגנון הפיקוח על המחירים והשירותים
123,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,פרסום דוחות של מונופולים מוכרזים
124,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,מנגנון תלת שלבי לבחינת הכנסת מוצרים לפיקוח
126,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תקינה,אימוץ מסלול האישור האירופאי
127,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תקינה,גיבוש רפורמה מקיפה במוסדות המכון לרבות בחינת עדכון הליכי התקינה והרכבי ועדות התקינה
128,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תקינה,הקמת ועדה להסרת חסמי ייבוא באמצעות השוואת תקינה בתחומים השונים ביחס לעולם
129,"דו""ח ועדת טרכטנברג",יוקר המחייה,,היטלים,"הגבלת השימוש בהיטלי סחר בתעשיות ריכוזיות, יצואניות או מונופוליסטיות"
130,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף המזון
131,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף נמלי הים
132,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף המים
133,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף המזון
134,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף גז הבישול
135,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף תחנות התדלוק
136,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף הרכב
137,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף הסולר לתחבורה
138,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף הבנקאות הקמעונאית
139,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף המלט
140,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף החסכון הפנסיוני
141,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ייבוא דרך האינטרנט
142,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף התחבורה הציבורית
143,"דו""ח ועדת טרכטנברג",יוקר המחייה,גילאי 3-9,דיגיטציה של ספרי לימוד,"דיגיטציה של ספרי לימוד קיימים
וחיוב מהדורה דיגיטלית של ספרי
לימוד חדשים"
144,"דו""ח ועדת טרכטנברג",יוקר המחייה,חינוך,מיקור חוץ במשרד החינוך,"בחינת מדיניות לאופן 'מיקור
החוץ'"
145,"דו""ח ועדת טרכטנברג",יוקר המחייה,,morchickit3,ענף התחבורה הציבורית
